epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,617.733,1.71183,4.60118,1.06211,7e-05,0.00976,4e-05,1e-05,1.56014,4.86021,0.9672,0.00024442,0.00024442,0.00024442
2,1121.05,1.55079,3.14302,1.0221,7e-05,0.01026,0.00504,0.00353,1.43297,4.50936,0.98362,0.000483452,0.000483452,0.000483452
3,1417.71,1.46738,2.35273,1.003,1,0.01605,0.47207,0.25318,1.58802,3.69482,1.08809,0.000705618,0.000705618,0.000705618
4,1721.41,1.44001,2.0086,1.02255,0.98957,0.33465,0.57668,0.34313,1.40773,2.84836,1.01329,0.00091092,0.00091092,0.00091092
5,2033.48,1.44912,1.8862,1.01851,0.91306,0.4659,0.60899,0.36928,1.41747,2.33689,1.01657,0.000964348,0.000964348,0.000964348
6,2353.26,1.34795,1.64608,0.99451,0.89027,0.53906,0.65784,0.39079,1.38995,1.87802,1.01375,0.000927685,0.000927685,0.000927685
7,2666.8,1.38822,1.61068,1.002,0.81813,0.56154,0.65997,0.38145,1.48053,1.83176,1.03202,0.000891022,0.000891022,0.000891022
8,2986.29,1.31908,1.5092,0.99835,0.80052,0.58306,0.62722,0.34942,1.43349,1.54759,1.01919,0.000854359,0.000854359,0.000854359
9,3279.81,1.37892,1.46915,1.00065,0.80064,0.58996,0.67583,0.38951,1.35534,1.61935,1.01,0.000817696,0.000817696,0.000817696
10,3564.66,1.29764,1.34913,0.97556,0.78805,0.67507,0.70518,0.40036,1.35977,1.3431,1.0089,0.000781033,0.000781033,0.000781033
11,3849.2,1.32287,1.31751,0.97521,0.76909,0.5999,0.69377,0.40575,1.3832,1.52648,0.99562,0.00074437,0.00074437,0.00074437
12,4134.46,1.25335,1.18512,0.93941,0.82278,0.61681,0.72247,0.42358,1.31807,1.30396,0.99652,0.000707707,0.000707707,0.000707707
13,4419.93,1.26327,1.17364,0.95162,0.85369,0.66845,0.73665,0.42339,1.3836,1.21906,0.9925,0.000671044,0.000671044,0.000671044
14,4701.48,1.23119,1.13511,0.95054,0.8696,0.66033,0.73084,0.42871,1.33699,1.15102,0.98272,0.000634381,0.000634381,0.000634381
15,4987.64,1.20101,1.06364,0.94297,0.90927,0.67322,0.74284,0.43977,1.31389,1.07837,0.98966,0.000597718,0.000597718,0.000597718
16,5271.4,1.17815,1.05565,0.94358,0.90061,0.67973,0.76092,0.45147,1.29571,1.05355,0.97514,0.000561055,0.000561055,0.000561055
17,5556.35,1.16366,1.01285,0.94393,0.91234,0.67893,0.73772,0.44834,1.28141,1.07749,0.97305,0.000524392,0.000524392,0.000524392
18,5919.94,1.15293,0.97399,0.93104,0.94084,0.64735,0.76046,0.44466,1.3516,1.01126,0.97969,0.000487729,0.000487729,0.000487729
19,6283.35,1.14754,0.94475,0.91506,0.9013,0.72354,0.77287,0.45775,1.28573,0.98593,0.96989,0.000451066,0.000451066,0.000451066
20,6595.26,1.13906,0.93382,0.92573,0.92991,0.71369,0.78352,0.47546,1.28955,0.95243,0.96764,0.000414403,0.000414403,0.000414403
21,6889.9,1.15558,1.07405,0.94474,0.9124,0.68511,0.76903,0.45716,1.31256,0.98033,0.98021,0.00037774,0.00037774,0.00037774
22,7182.4,1.14102,1.04099,0.93801,0.88373,0.71298,0.78075,0.46847,1.24724,0.94256,0.96024,0.000341077,0.000341077,0.000341077
23,7466.24,1.11583,0.97483,0.92756,0.93936,0.67875,0.75289,0.46385,1.23523,0.93948,0.95956,0.000304414,0.000304414,0.000304414
24,7754.17,1.11703,0.97031,0.93361,0.91635,0.72506,0.77163,0.48662,1.2071,0.86397,0.951,0.000267751,0.000267751,0.000267751
25,8038.66,1.08465,0.94035,0.91598,0.90381,0.73502,0.77374,0.48165,1.20518,0.87456,0.94933,0.000231088,0.000231088,0.000231088
26,8319.87,1.05934,0.93749,0.91626,0.93192,0.72399,0.77184,0.46776,1.24815,0.89042,0.95365,0.000194425,0.000194425,0.000194425
27,8601.6,1.05578,0.89891,0.90655,0.90257,0.70227,0.77128,0.47373,1.20308,0.8498,0.94838,0.000157762,0.000157762,0.000157762
28,8880.96,1.04925,0.89879,0.9119,0.91775,0.70319,0.78158,0.47908,1.24774,0.87231,0.95238,0.000121099,0.000121099,0.000121099
29,9161.66,1.04658,0.88682,0.91705,0.85545,0.75258,0.79422,0.49189,1.22502,0.85492,0.94936,8.4436e-05,8.4436e-05,8.4436e-05
30,9443.1,1.03297,0.87722,0.89618,0.94426,0.73268,0.79334,0.49847,1.1864,0.8272,0.94234,4.7773e-05,4.7773e-05,4.7773e-05
